reporting_date,uniqueContID,ProductID,platform_identifier,confirmation_platform,counterparty_1_lei,counterparty_1_ID,counterparty_1_country,counterparty_2_lei,counterparty_2_name,counterparty_2_country,counterparty_2_sector,counterparty_2_rating,asset_class,contract_type,product_name,instrument_type,underlying_asset_type,underlying_id,underlying_name,cfi_code,isin,trade_date,effective_date,maturity_date,termination_date, notional_amount_leg1 ,notional_currency_leg1, notional_amount_leg2 ,notional_currency_leg2, price ,price_currency,fixed_rate_leg1,fixed_rate_leg2,floating_rate_index_leg1,floating_rate_index_leg2,spread_leg1_bps,spread_leg2_bps,payment_frequency_leg1,payment_frequency_leg2,day_count_leg1,day_count_leg2,buyer_lei,seller_lei,payer_leg1,receiver_leg1,direction,position_side,quantity,unit_of_measure,cleared,central_counterparty_lei,clearing_timestamp,settlement_date,settlement_currency,settlement_type,valuation_timestamp,valuation_amount,valuation_currency,valuation_method,valuation_source,collateralisation_category,collateral_portfolio_indicator,collateral_portfolio_code, initial_margin_posted , initial_margin_received , variation_margin_posted , variation_margin_received , excess_collateral_posted , excess_collateral_received ,margin_currency,option_type,option_style,strike_price,strike_currency,option_premium,premium_currency,premium_payment_date,expiry_date,reference_entity_lei,reference_entity_name,reference_obligation,seniority,credit_event,restructuring_clause,master_agreement_type,master_agreement_version,netting_set_id,margin_agreement_id,beneficiary_lei,broker_lei,clearing_member_lei
31/5/25,99999990001,99990001,OTC,Manual,254900F6KD0V3NHL4K90,AkbarBank SG,SG,POIG8F1CBFNO6B9M8038,Counterparty 559 Holdings,JP,Sovereign,A,Foreign Exchange,Forward,FX Forward,OTC Derivative,Currency Pair,JPY/SGD,JPY/SGD,FFCXXX,,24/5/25,24/5/25,24/5/26,,"22,000,000",JPY,,"176,000", 0.00800 ,SGD,,,,,,,Semi-Annual,,ACT/360,,POIG8F1CBFNO6B9M8038,254900F6KD0V3NHL4K90,POIG8F1CBFNO6B9M8038,POIG8F1CBFNO6B9M8038,Sell,Short,,,Y,SGXASGSGXXX,2025-05-24T03:00:00,26/5/25,JPY,Physical,2025-05-26T19:00:00,"365,116",JPY,Mark-to-Market,Internal Model,Fully Collateralised,N,CSA-7543,"532,705","481,623", -   ,"166,555","79,639","219,412",JPY,,,,,,,,,,,,,,,ISDA,,NS-105,MA-248,,,K8PK3YR9OUDOCUZREN82
31/5/25,99999990002,99990001,MTF,Manual,254900F6KD0V3NHL4K90,AkbarBank SG,SG,EYY37Q9AH8RVHS1K3A43,Counterparty 612 Bank,AU,Corporate,BB,Interest Rate,Swap,Overnight Index Swap,OTC Derivative,Interest Rate,TONAR,TONAR,SRXXXX,,18/9/25,18/9/25,17/9/28,,"36,000,000",AUD,,,0.059906,AUD,0.059906,,EURIBOR,,-44.16,,At Maturity,,ACT/360,,EYY37Q9AH8RVHS1K3A43,254900F6KD0V3NHL4K90,EYY37Q9AH8RVHS1K3A43,254900F6KD0V3NHL4K90,Sell,Short,,,N,,,19/9/25,AUD,Cash,2025-09-19T19:00:00,"2,181,438",AUD,Mark-to-Model,Market Data Vendor,Partially Collateralised,Y,CSA-2588,"898,199","332,115", -   ,"681,804","237,234","127,547",AUD,,,,,,,,,,,,,,,GMRA,,NS-155,MA-246,,EVB9OOAEDOECVE6PR537,
31/5/25,99999990003,99990001,MTF,MarkitWire,254900F6KD0V3NHL4K90,AkbarBank SG,SG,ZVGPMM82I1LR3PE29G16,Counterparty 767 Holdings,US,Insurance,AAA,Commodity,Swap,Commodity Swap,OTC Derivative,Commodity,WTI_CRUDE_OIL,WTI Crude Oil,SCXXXX,,9/1/25,9/1/25,9/1/27,,"26,000,000",CNH,,,107.1638,CNH,,,,,,,Annual,,30/360,,ZVGPMM82I1LR3PE29G16,5493001KJTIIGC8Y1R12,ZVGPMM82I1LR3PE29G16,5493001KJTIIGC8Y1R12,Sell,Long,281876,Barrels,N,,,10/1/25,CNH,Physical,2025-01-12T19:00:00,"-976,755",CNH,Mark-to-Market,Market Data Vendor,Uncollateralised,Y,CSA-7054,"611,575","354,907","976,755","517,620","74,097","113,928",CNH,,,,,,,,,,,,,,,None,2018,NS-139,MA-251,,HPCF07UQNUPQZIT3UE11,
31/5/25,99999990004,99990001,MTF,Internal,254900F6KD0V3NHL4K90,AkbarBank SG,SG,IQHG9JRSNVNQ65QDF145,Counterparty 145 Pte Ltd,GB,Sovereign,A,Credit,Swap,Index CDS,OTC Derivative,Credit Index,CDX.NA.IG,CDX.NA.IG,SCXXXX,,21/6/25,22/6/25,21/6/28,,"4,000,000",HKD,,,181.85,HKD,,,,,,,Monthly,,ACT/365,,IQHG9JRSNVNQ65QDF145,5493001KJTIIGC8Y1R12,5493001KJTIIGC8Y1R12,5493001KJTIIGC8Y1R12,Sell,Short,,,Y,CMEGUS33XXX,2025-06-21T01:00:00,22/6/25,HKD,Cash,2025-06-24T19:00:00,"52,806",HKD,Mark-to-Model,Internal Model,Fully Collateralised,Y,CSA-2776,"17,771","15,293", -   ,"63,690","23,863","13,827",HKD,,,,,,,,,,CDX.NA.IG,Senior Bond 2032,Subordinated,Restructuring,XR,ISDA,,NS-157,MA-236,,,PRKGYC4OM3WTOOBMZV45
31/5/25,99999990005,99990001,SEF,MarkitWire,254900F6KD0V3NHL4K90,AkbarBank SG,SG,X1EVUHT6T0UZS9IM0Y96,Counterparty 866 Bank,GB,Fund,BBB,Credit,Swap,Credit Default Swap,OTC Derivative,Reference Entity,322N64KFS6VFPTOMJB15,Toyota Motor,SCXXXX,,13/11/25,15/11/25,13/11/32,,"190,000,000",JPY,,,103.66,JPY,,,,,,,At Maturity,,ACT/365,,X1EVUHT6T0UZS9IM0Y96,5493001KJTIIGC8Y1R12,X1EVUHT6T0UZS9IM0Y96,5493001KJTIIGC8Y1R12,Sell,Short,,,N,,,14/11/25,JPY,Physical,2025-11-15T19:00:00,"3,382,729",JPY,Mark-to-Market,Counterparty Statement,One-way CSA,N,CSA-5246,"4,380,389","2,595,872","2,187,549","1,459,118","1,428,376","1,595,739",JPY,,,,,,,,,322N64KFS6VFPTOMJB15,Toyota Motor,Senior Bond 2031,Secured,Failure to Pay,XR,ISDA,2018,NS-128,MA-204,,,
31/5/25,99999990006,99990001,Bilateral,MarkitWire,254900F6KD0V3NHL4K90,AkbarBank SG,SG,IJOYJNE00V830DN0YB83,Counterparty 489 Investments,SG,Sovereign,BB,Interest Rate,Swap,Basis Swap,OTC Derivative,Interest Rate,SOFR,SOFR,SRXXXX,,5/1/25,7/1/25,7/1/28,,"18,000,000",GBP,,,0.026804,GBP,0.026804,,HIBOR,EURIBOR,167.25,202.15,Quarterly,Monthly,30/360,ACT/360,5493001KJTIIGC8Y1R12,IJOYJNE00V830DN0YB83,IJOYJNE00V830DN0YB83,5493001KJTIIGC8Y1R12,Buy,Long,,,N,,,7/1/25,GBP,Cash,2025-01-08T19:00:00,"1,384,479",GBP,Mark-to-Market,Internal Model,Partially Collateralised,N,CSA-2874,"288,427","489,742", -   ,"1,384,479","101,515","39,234",GBP,,,,,,,,,,,,,,,None,2018,NS-149,MA-223,IJOYJNE00V830DN0YB83,,
31/5/25,99999990007,99990001,MTF,TriOptima,254900F6KD0V3NHL4K90,AkbarBank SG,SG,KTGBTYZMEPGTHCW81X18,Counterparty 618 Capital,HK,Asset Manager,A,Commodity,Forward,Commodity Forward,OTC Derivative,Commodity,NATURAL_GAS,Natural Gas,SCXXXX,,8/1/25,13/1/25,11/1/35,,"1,500,000,000",AUD,,,60.5115,AUD,,,,,,,Semi-Annual,,30/360,,KTGBTYZMEPGTHCW81X18,5493001KJTIIGC8Y1R12,5493001KJTIIGC8Y1R12,5493001KJTIIGC8Y1R12,Sell,Long,126541,MMBtu,N,,,9/1/25,AUD,Physical,2025-01-11T19:00:00,"27,818,965",AUD,Mark-to-Market,Counterparty Statement,One-way CSA,N,CSA-8342,"41,382,795","34,858,865", -   ,"17,774,239","11,893,993","1,395,800",AUD,,,,,,,,,,,,,,,ISDA,,NS-144,MA-215,,,
31/5/25,99999990008,99990001,SEF,TriOptima,254900F6KD0V3NHL4K90,AkbarBank SG,SG,19VW3RTQOHMUH8LMN445,Counterparty 841 Holdings,HK,Bank,AA,Foreign Exchange,Option,FX Option,OTC Derivative,Currency Pair,GBP/EUR,GBP/EUR,SFCXXX,,26/1/26,28/1/26,29/7/26,,"20,000,000",GBP,,,0.7519,EUR,,,,,,,Quarterly,,ACT/360,,254900F6KD0V3NHL4K90,19VW3RTQOHMUH8LMN445,254900F6KD0V3NHL4K90,254900F6KD0V3NHL4K90,Buy,Short,,,Y,CMEGUS33XXX,2026-01-26T05:00:00,27/1/26,GBP,Cash,2026-01-28T19:00:00,"1,517,744",GBP,Mark-to-Market,Market Data Vendor,Fully Collateralised,N,CSA-2166,"332,015","418,450", -   ,"196,351","137,477","184,782",GBP,Call,American,0.649209,EUR,195351.37,GBP,28/1/26,23/7/26,,,,,,,ISDA,2018,NS-152,MA-209,19VW3RTQOHMUH8LMN445,,O7Y22T1TDGNNQFKPL919
31/5/25,99999990009,99990001,MTF,Internal,254900F6KD0V3NHL4K90,AkbarBank SG,SG,2H3TZR6852FC1UQBFO96,Counterparty 956 Holdings,FR,Bank,AAA,Equity,Forward,Equity Forward,OTC Derivative,Single Name Equity,MSFT,MSFT US Equity,SESXXX,US9489443114,29/10/25,29/10/25,28/10/28,,"750,000,000",CNH,,,133.9579,CNH,,,,,,,Quarterly,,30/360,,2H3TZR6852FC1UQBFO96,254900F6KD0V3NHL4K90,254900F6KD0V3NHL4K90,254900F6KD0V3NHL4K90,Sell,Short,48869,Barrels,N,,,30/10/25,CNH,Cash,2025-10-30T19:00:00,"37,627,924",CNH,Mark-to-Model,Internal Model,Partially Collateralised,N,CSA-5781,"12,377,174","10,233,583", -   ,"37,627,924","3,816,540","2,050,687",CNH,,,,,,,,,,,,,,,GMRA,,NS-115,MA-229,,,
31/5/25,99999990010,99990001,SEF,Internal,254900F6KD0V3NHL4K90,AkbarBank SG,SG,ER0V6RAST5J284WV9858,Counterparty 566 Capital,FR,Fund,BB,Interest Rate,Option,Cap,OTC Derivative,Interest Rate,HIBOR,HIBOR,SRXXXX,,8/4/25,9/4/25,7/4/32,,"800,000,000",USD,,,0.026327,USD,0.026327,,HIBOR,,196.22,,At Maturity,,ACT/365,,5493001KJTIIGC8Y1R12,ER0V6RAST5J284WV9858,ER0V6RAST5J284WV9858,5493001KJTIIGC8Y1R12,Buy,Long,,,N,,,9/4/25,USD,Cash,2025-04-11T19:00:00,"-597,933",USD,Mark-to-Market,Counterparty Statement,One-way CSA,Y,CSA-9153,"888,471","12,054,988","597,933","13,987,046","7,302,632","1,144,942",USD,Put,Bermudan,78.4148,USD,8766193.29,USD,10/4/25,6/2/32,,,,,,,ISDA,,NS-157,MA-218,ER0V6RAST5J284WV9858,SOF1GG2KTBCUDSWX1J41,
